tst1,50, Self-emp-not-inc, 83311, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 13, United-States,?
tst427,39, Private, 191002, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, Poland,?
tst428,29, ?, 189282, HS-grad, 9, Married-civ-spouse, ?, Not-in-family, White, Female, 0, 0, 27, United-States,?
tst429,18, Private, 51255, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 15, United-States,?
tst430,54, Private, 194580, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst431,35, State-gov, 177974, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States,?
tst432,35, Self-emp-not-inc, 198841, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States,?
tst433,66, Private, 217198, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 10, United-States,?
tst434,32, Private, 136480, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States,?
tst435,46, Private, 328216, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States,?
tst436,48, State-gov, 99086, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst437,18, Private, 181755, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 30, United-States,?
tst438,25, Private, 191921, Some-college, 10, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States,?
tst439,43, Private, 233851, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst440,82, Private, 152148, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 2, United-States,?
tst441,40, Private, 356934, Assoc-acdm, 12, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst442,24, Private, 508548, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States,?
tst443,45, Private, 360393, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, United-States,?
tst444,23, Private, 31606, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst445,32, Private, 292592, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 35, United-States,?
tst446,19, ?, 217769, Some-college, 10, Never-married, ?, Own-child, White, Female, 594, 0, 10, United-States,?
tst447,28, Federal-gov, 329426, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst448,59, Self-emp-not-inc, 32537, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States,?
tst449,62, State-gov, 159699, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 38, United-States,?
tst450,39, Private, 84954, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 2829, 0, 65, United-States,?
tst451,36, Private, 214604, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 42, United-States,?
tst452,33, State-gov, 313729, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst453,36, Private, 103323, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 2829, 0, 40, United-States,?
tst454,37, State-gov, 210452, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 38, United-States,?
tst455,50, Local-gov, 183390, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst456,34, Private, 37380, HS-grad, 9, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States,?
tst457,42, Private, 153160, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 40, United-States,?
tst458,49, State-gov, 142856, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst459,36, Private, 79649, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst460,20, Private, 34590, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 60, United-States,?
tst461,25, Private, 431307, 10th, 6, Married-civ-spouse, Protective-serv, Wife, Black, Female, 0, 0, 50, United-States,?
tst462,46, Private, 231515, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 47, Cuba,?
tst463,30, Private, 88913, Some-college, 10, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, United-States,?
tst464,34, Private, 116677, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst465,40, Private, 390369, HS-grad, 9, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States,?
tst466,41, Private, 82778, 1st-4th, 2, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, Mexico,?
tst467,39, Private, 282153, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States,?
tst468,29, Private, 159479, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Other, Male, 0, 0, 55, United-States,?
tst469,54, Self-emp-not-inc, 42924, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst470,41, Private, 74775, Bachelors, 13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 30, Vietnam,?
tst471,60, Private, 296485, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States,?
tst472,58, Private, 322691, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst473,39, Private, 258102, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States,?
tst474,25, Private, 208591, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States,?
tst475,24, Local-gov, 461678, 10th, 6, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst476,49, Private, 99179, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst477,19, State-gov, 354104, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 10, United-States,?
tst478,27, Private, 119170, 11th, 7, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States,?
tst479,58, Private, 473836, 7th-8th, 4, Widowed, Farming-fishing, Other-relative, White, Female, 0, 0, 45, Guatemala,?
tst480,21, Private, 72593, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States,?
tst481,52, Private, 108435, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, Greece,?
tst482,36, Private, 118909, Assoc-acdm, 12, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, Jamaica,?
tst483,20, Private, 262749, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States,?
tst484,34, Federal-gov, 198265, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 60, United-States,?
tst485,38, Private, 197077, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States,?
tst486,46, Private, 315423, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 2042, 50, United-States,?
tst487,26, Local-gov, 166295, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 41, United-States,?
tst488,52, Private, 246936, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States,?
tst489,61, Private, 56009, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst490,31, Private, 402361, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst491,43, Private, 153160, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States,?
tst492,21, Self-emp-not-inc, 409230, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 30, United-States,?
tst493,24, Private, 126568, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 33, United-States,?
tst494,49, Local-gov, 126446, Some-college, 10, Never-married, Other-service, Unmarried, White, Female, 0, 0, 30, United-States,?
tst495,29, Self-emp-inc, 87745, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst496,28, Private, 274690, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst497,24, Private, 53942, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst498,62, Self-emp-not-inc, 26911, 7th-8th, 4, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 66, United-States,?
tst499,47, Local-gov, 165822, Some-college, 10, Divorced, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States,?
tst500,44, Private, 569761, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States,?
tst501,30, Private, 209900, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst502,49, Private, 40000, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 4064, 0, 44, United-States,?
tst503,24, Private, 261561, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst504,34, Private, 189759, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 45, United-States,?
tst505,21, Private, 149809, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States,?
tst506,18, Private, 374969, 10th, 6, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 56, United-States,?
tst507,60, Self-emp-not-inc, 137733, Bachelors, 13, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States,?
tst508,43, Self-emp-not-inc, 311177, Some-college, 10, Never-married, Transport-moving, Not-in-family, Black, Male, 0, 0, 30, United-States,?
tst509,42, Self-emp-not-inc, 222978, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst510,33, Self-emp-not-inc, 361497, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst511,40, Private, 294708, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States,?
tst512,47, Local-gov, 287320, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst513,35, Private, 186489, 9th, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 46, United-States,?
tst514,38, Private, 80303, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States,?
tst515,23, ?, 194031, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst516,39, State-gov, 152307, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst517,23, Private, 197207, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst518,36, Private, 181065, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst519,23, ?, 164574, Assoc-acdm, 12, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst520,71, Private, 179574, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 12, United-States,?
tst521,29, Self-emp-not-inc, 144063, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 72, United-States,?
tst522,31, Private, 164569, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 48, United-States,?
tst523,20, Private, 122649, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States,?
tst524,24, Private, 94395, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst525,43, Self-emp-inc, 35662, Doctorate, 16, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 70, United-States,?
tst526,43, Private, 34007, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst527,54, Private, 135803, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 15024, 0, 60, South,?
tst528,31, Private, 128591, 9th, 5, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst529,33, Private, 96635, Some-college, 10, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 26, South,?
tst530,20, Private, 238685, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 30, United-States,?
tst531,31, Private, 204752, 12th, 8, Never-married, Sales, Own-child, White, Male, 0, 0, 32, United-States,?
tst532,40, State-gov, 177083, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst533,22, Private, 306967, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst534,46, Private, 188293, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst535,43, Private, 125833, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Vietnam,?
tst536,32, Private, 204567, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 60, United-States,?
tst537,22, Private, 110200, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst538,31, Private, 219318, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 35, Puerto-Rico,?
tst539,43, Self-emp-not-inc, 187322, HS-grad, 9, Divorced, Other-service, Unmarried, White, Male, 0, 0, 45, United-States,?
tst540,47, Private, 34845, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States,?
tst541,36, Private, 177616, 5th-6th, 3, Separated, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst542,28, Private, 388112, 1st-4th, 2, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 77, Mexico,?
tst543,70, Private, 170428, Bachelors, 13, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 20, Puerto-Rico,?
tst544,20, Private, 140001, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States,?
tst545,69, Local-gov, 61958, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 1424, 0, 6, United-States,?
tst546,33, Local-gov, 120508, Bachelors, 13, Divorced, Protective-serv, Unmarried, White, Female, 0, 0, 60, Germany,?
tst547,46, ?, 443179, Bachelors, 13, Divorced, ?, Not-in-family, White, Female, 0, 0, 8, United-States,?
tst548,24, Private, 100345, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States,?
tst549,36, Private, 353263, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst550,40, Private, 176602, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst551,50, State-gov, 173020, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst552,45, Federal-gov, 162410, Some-college, 10, Widowed, Tech-support, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst553,28, Private, 119793, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 60, United-States,?
tst554,26, Federal-gov, 218782, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Other, Male, 0, 0, 40, United-States,?
tst555,41, Private, 203233, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst556,38, Private, 203836, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst557,55, Local-gov, 212448, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst558,28, ?, 223745, Some-college, 10, Never-married, ?, Unmarried, White, Female, 0, 0, 40, United-States,?
tst559,25, Private, 288185, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico,?
tst560,35, Private, 158046, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 5013, 0, 70, United-States,?
tst561,32, Private, 133503, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States,?
tst562,22, State-gov, 96862, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States,?
tst563,34, Private, 234386, Assoc-acdm, 12, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst564,53, Private, 233369, Some-college, 10, Widowed, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst565,22, Private, 514033, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 80, United-States,?
tst566,54, Self-emp-not-inc, 114520, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst567,59, Private, 186385, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst568,41, Local-gov, 384236, Assoc-voc, 11, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst569,68, Local-gov, 177596, 10th, 6, Separated, Other-service, Not-in-family, Black, Female, 0, 0, 90, United-States,?
tst570,33, Private, 189710, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, Mexico,?
tst571,34, Private, 195576, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States,?
tst572,43, Private, 240124, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst573,60, Federal-gov, 165630, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1977, 40, United-States,?
tst574,47, Private, 169388, 11th, 7, Divorced, Other-service, Unmarried, White, Female, 0, 0, 15, United-States,?
tst575,36, Private, 272950, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst576,38, Private, 110713, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States,?
tst577,20, Local-gov, 243178, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States,?
tst578,49, Private, 266150, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States,?
tst579,32, ?, 285131, Assoc-acdm, 12, Never-married, ?, Unmarried, White, Male, 0, 0, 20, United-States,?
tst580,29, State-gov, 409201, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States,?
tst581,37, Private, 105803, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst582,19, ?, 541282, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst583,43, Private, 281422, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 45, United-States,?
tst584,63, Private, 203783, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 72, United-States,?
tst585,22, Private, 305498, HS-grad, 9, Divorced, Sales, Own-child, White, Female, 0, 0, 33, United-States,?
tst586,24, Private, 37072, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst587,40, Self-emp-not-inc, 29762, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States,?
tst588,52, Private, 259363, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States,?
tst589,42, Private, 334522, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States,?
tst590,22, ?, 263970, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 28, United-States,?
tst591,41, Private, 150533, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 2829, 0, 40, United-States,?
tst592,23, Private, 220168, HS-grad, 9, Never-married, Sales, Other-relative, Black, Female, 0, 0, 25, Jamaica,?
tst593,61, Local-gov, 115023, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States,?
tst594,29, Private, 351871, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst595,53, Private, 171924, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 14344, 0, 55, United-States,?
tst596,42, Local-gov, 55363, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States,?
tst597,22, Private, 300871, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States,?
tst598,42, Federal-gov, 115932, Bachelors, 13, Divorced, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States,?
tst599,28, Private, 337378, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst600,25, Private, 167031, 10th, 6, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, Columbia,?
tst601,22, Self-emp-inc, 375422, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, South,?
tst602,35, Private, 248010, Bachelors, 13, Married-spouse-absent, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States,?
tst603,42, Private, 270721, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 32, United-States,?
tst604,47, Private, 328216, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 7298, 0, 40, United-States,?
tst605,34, Private, 581071, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Male, 0, 0, 48, United-States,?
tst606,60, Private, 166386, 11th, 7, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female, 0, 0, 30, Hong,?
tst607,27, Private, 277760, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst608,42, State-gov, 184682, Assoc-acdm, 12, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst609,34, Private, 69251, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States,?
tst610,46, Private, 167515, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 50, United-States,?
tst611,28, Private, 196621, HS-grad, 9, Married-spouse-absent, Tech-support, Not-in-family, White, Female, 0, 0, 37, United-States,?
tst612,52, ?, 108211, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States,?
tst613,25, Private, 248313, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst614,22, Private, 353039, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Female, 0, 0, 36, Mexico,?
tst615,36, Private, 183425, Some-college, 10, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst616,49, Private, 169180, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, Hong,?
tst617,17, Private, 117477, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States,?
tst618,52, Private, 168553, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1977, 40, United-States,?
tst619,33, Private, 232475, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst620,50, Local-gov, 220640, Masters, 14, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 50, United-States,?
tst621,40, Private, 190290, Some-college, 10, Divorced, Sales, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst622,50, Private, 89041, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 15024, 0, 50, United-States,?
tst623,72, Private, 426562, 11th, 7, Divorced, Other-service, Not-in-family, Black, Female, 0, 0, 35, United-States,?
tst624,60, ?, 56248, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 1485, 70, United-States,?
tst625,45, Private, 165232, Some-college, 10, Divorced, Tech-support, Not-in-family, Black, Female, 0, 0, 40, Trinadad&Tobago,?
tst626,40, Private, 202565, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 52, United-States,?
tst627,40, Private, 558944, 7th-8th, 4, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 40, United-States,?
tst628,34, Private, 176244, 7th-8th, 4, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States,?
tst629,32, Private, 117779, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Female, 0, 0, 35, United-States,?
tst630,60, Local-gov, 141637, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst631,30, Private, 164190, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst632,19, Private, 187161, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States,?
tst633,44, State-gov, 691903, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 60, United-States,?
tst634,50, State-gov, 289207, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 45, United-States,?
tst635,46, Private, 273629, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst636,28, Private, 200515, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 35, United-States,?
tst637,40, Local-gov, 183096, 9th, 5, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, Yugoslavia,?
tst638,34, Private, 120959, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst639,35, ?, 124836, Some-college, 10, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 36, United-States,?
tst640,56, Private, 244605, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst641,27, Private, 310850, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States,?
tst642,61, Private, 149405, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 40, United-States,?
tst643,25, ?, 344719, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 4, United-States,?
tst644,20, Private, 299399, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States,?
tst645,44, Private, 427952, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst646,60, Private, 243829, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst647,20, Private, 94364, Some-college, 10, Never-married, Prof-specialty, Not-in-family, Other, Female, 0, 0, 20, United-States,?
